question,answer,fiscal_year,source
What was Reliance's consolidated revenue in FY2023-24?,"₹10,00,122 crore.",FY2023-24,https://www.ril.com/ar2023-24/index.html
What was Reliance's profit after tax (PAT) in FY2023-24?,"₹79,020 crore.",FY2023-24,https://www.ril.com/ar2023-24/index.html
What was Reliance's net worth as of FY2023-24?,"₹7,42,922 crore.",FY2023-24,https://www.ril.com/ar2023-24/index.html
What was the book value per share in FY2023-24?,"₹1,173.",FY2023-24,https://www.ril.com/ar2023-24/index.html
What was the debt-to-equity ratio in FY2023-24?,0.41 times.,FY2023-24,https://www.ril.com/ar2023-24/index.html
What was the current ratio in FY2023-24?,1.18 times.,FY2023-24,https://www.ril.com/ar2023-24/index.html
What was RIL's market capitalisation milestone reported in FY2023-24?,"₹20,14,011 crore; first Indian listed company to cross ₹20,00,000 crore.",FY2023-24,https://www.ril.com/ar2023-24/index.html
How much did Reliance contribute to the national exchequer in FY2023-24?,"₹1,86,440 crore.",FY2023-24,https://www.ril.com/ar2023-24/index.html
What was the O2C segment revenue in FY2023-24?,"₹5,64,749 crore.",FY2023-24,https://www.ril.com/ar2023-24/index.html
What was the O2C segment EBITDA in FY2023-24?,"₹62,393 crore.",FY2023-24,https://www.ril.com/ar2023-24/index.html
What was the Retail segment revenue in FY2023-24?,"₹3,06,786 crore (US$ 36.8 billion).",FY2023-24,https://www.ril.com/ar2023-24/index.html
What was the Retail segment EBITDA in FY2023-24?,"₹22,720 crore (US$ 2.8 billion).",FY2023-24,https://www.ril.com/ar2023-24/index.html
What was the Digital Services (Jio) revenue in FY2023-24?,"₹1,32,938 crore.",FY2023-24,https://www.ril.com/ar2023-24/index.html
What was the Digital Services (Jio) EBITDA in FY2023-24?,"₹56,697 crore.",FY2023-24,https://www.ril.com/ar2023-24/index.html
How many subscribers did Jio report at FY2023-24 year-end?,481.8 million subscribers (EOP).,FY2023-24,https://www.ril.com/ar2023-24/index.html
How much data traffic did Jio carry in FY2023-24?,148.5 billion GB.,FY2023-24,https://www.ril.com/ar2023-24/index.html
What was the Media & Entertainment segment revenue in FY2023-24?,"₹10,826 crore.",FY2023-24,https://www.ril.com/ar2023-24/index.html
What was the Media & Entertainment segment EBITDA in FY2023-24?,₹33 crore.,FY2023-24,https://www.ril.com/ar2023-24/index.html
What was the Oil & Gas Exploration & Production revenue in FY2023-24?,"₹24,439 crore.",FY2023-24,https://www.ril.com/ar2023-24/index.html
What was the Oil & Gas Exploration & Production EBITDA in FY2023-24?,"₹20,191 crore.",FY2023-24,https://www.ril.com/ar2023-24/index.html
How much gas did RIL produce (its share) in FY2023-24?,"242 BCF (RIL’s share, including KG-D6 and CBM).",FY2023-24,https://www.ril.com/ar2023-24/index.html
How much Oil & Condensate (RIL’s share) was produced in FY2023-24?,4.43 MMBBLs (RIL’s share).,FY2023-24,https://www.ril.com/ar2023-24/index.html
